"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 29-Feb-2024"
"NIFTY 50","22,433.40","22,450.35","22,104.85","22,545.05","22,124.70","-","-420.35","-1.86","55,12,85,287","52,744.90","26,277.35","21,281.45","-4.48","0.65"
"SHRIRAMFIN","609.95","620.00","602.25","606.80","619.00","-","12.20","2.01","2,37,71,834","1,459.02","730.45","438.60","11.53","-74.69"
"HDFCBANK","1,685.00","1,737.25","1,685.00","1,700.70","1,730.15","-","29.45","1.73","2,72,58,364","4,691.55","1,880.00","1,397.30","3.29","23.44"
"COALINDIA","366.80","375.75","365.30","363.85","368.50","-","4.65","1.28","2,18,99,478","812.95","543.55","349.25","-2.66","-15.42"
"TRENT","4,760.00","4,876.40","4,715.00","4,805.30","4,838.65","-","33.35","0.69","21,78,604","1,047.97","8,345.00","3,750.25","-13.32","24.98"
"HINDALCO","630.00","636.60","619.45","631.95","634.00","-","2.05","0.32","1,30,41,185","822.31","772.65","499.00","8.60","25.90"
"AXISBANK","1,014.80","1,035.50","1,009.95","1,016.70","1,015.60","-","-1.10","-0.11","1,50,26,849","1,531.93","1,339.65","933.50","3.27","-5.54"
"ADANIENT","2,107.00","2,111.35","2,072.00","2,110.95","2,097.55","-","-13.40","-0.63","23,73,922","497.06","3,743.90","2,025.00","-9.60","-36.20"
"ADANIPORTS","1,074.00","1,082.90","1,059.20","1,078.95","1,072.00","-","-6.95","-0.64","28,49,138","304.89","1,621.40","995.65","-2.51","-19.02"
"GRASIM","2,347.15","2,361.75","2,301.65","2,339.95","2,324.85","-","-15.10","-0.65","11,53,007","267.70","2,877.75","2,128.60","-5.99","5.26"
"RELIANCE","1,202.00","1,217.35","1,193.30","1,207.10","1,198.00","-","-9.10","-0.75","2,30,07,298","2,773.81","1,608.80","1,193.30","-2.87","-58.92"
"DRREDDY","1,128.70","1,132.00","1,104.55","1,125.55","1,115.70","-","-9.85","-0.88","38,95,033","435.22","1,421.49","1,104.55","-5.48","-82.62"
"TATASTEEL","137.80","137.80","134.06","138.69","137.16","-","-1.53","-1.10","4,55,40,594","620.35","184.60","122.62","4.89","-2.59"
"LT","3,199.80","3,199.80","3,141.00","3,209.50","3,170.00","-","-39.50","-1.23","24,94,680","790.44","3,963.50","3,141.00","-8.29","-9.02"
"ITC","399.00","402.50","392.20","401.60","395.90","-","-5.70","-1.42","3,19,54,776","1,261.54","528.50","392.20","-8.85","-2.78"
"HDFCLIFE","614.00","616.95","600.35","618.40","609.50","-","-8.90","-1.44","50,13,148","305.33","761.20","511.40","-3.16","4.55"
"ASIANPAINT","2,210.00","2,211.35","2,175.80","2,213.65","2,181.20","-","-32.45","-1.47","17,01,193","371.90","3,394.90","2,175.80","-1.95","-22.76"
"HEROMOTOCO","3,745.60","3,746.95","3,662.15","3,759.55","3,704.00","-","-55.55","-1.48","9,95,134","366.57","6,246.25","3,662.15","-9.61","-16.84"
"NTPC","314.00","315.65","306.55","315.70","310.70","-","-5.00","-1.58","2,11,27,180","657.63","448.45","292.80","-3.05","-7.20"
"APOLLOHOSP","6,145.05","6,145.05","6,001.35","6,185.20","6,085.00","-","-100.20","-1.62","8,45,516","512.37","7,545.35","5,693.20","-10.79","-0.80"
"POWERGRID","255.90","257.00","247.30","256.25","251.80","-","-4.45","-1.74","3,85,12,868","966.02","366.25","247.30","-12.85","-11.31"
"ICICIBANK","1,216.00","1,225.00","1,200.10","1,222.45","1,201.10","-","-21.35","-1.75","2,02,15,075","2,443.80","1,362.35","1,038.50","-3.80","14.44"
"BAJFINANCE","8,665.00","8,670.00","8,510.05","8,705.40","8,546.00","-","-159.40","-1.83","17,54,580","1,503.82","8,739.00","6,187.80","9.93","31.33"
"SBIN","700.90","701.35","682.60","703.90","689.80","-","-14.10","-2.00","1,57,80,609","1,088.94","912.00","682.60","-9.18","-7.93"
"BEL","250.00","250.95","243.50","252.45","247.25","-","-5.20","-2.06","1,77,54,591","437.83","340.50","179.10","-7.84","20.06"
"JSWSTEEL","968.10","968.60","940.55","975.00","954.00","-","-21.00","-2.15","25,53,800","242.99","1,063.00","761.75","1.40","18.82"
"HINDUNILVR","2,245.05","2,249.60","2,185.85","2,244.95","2,196.00","-","-48.95","-2.18","36,83,249","810.17","3,035.00","2,172.05","-8.13","-9.20"
"ONGC","230.00","230.50","223.15","231.00","225.65","-","-5.35","-2.32","1,72,37,276","388.60","345.00","223.00","-10.40","-14.87"
"CIPLA","1,440.00","1,448.70","1,400.00","1,441.15","1,405.00","-","-36.15","-2.51","33,40,343","473.02","1,702.05","1,317.25","-1.16","-4.92"
"KOTAKBANK","1,937.05","1,937.05","1,893.90","1,947.55","1,898.45","-","-49.10","-2.52","69,70,315","1,331.13","1,994.90","1,543.85","-0.91","12.64"
"EICHERMOT","4,910.05","4,931.95","4,755.00","4,935.50","4,803.00","-","-132.50","-2.68","10,76,243","519.53","5,575.50","3,672.00","-7.90","25.87"
"SBILIFE","1,460.00","1,462.05","1,411.85","1,469.75","1,429.65","-","-40.10","-2.73","23,97,364","343.48","1,936.00","1,307.70","-2.08","-7.86"
"BPCL","244.05","244.05","236.15","244.75","238.00","-","-6.75","-2.76","1,40,66,882","335.35","376.00","236.15","-7.67","-60.70"
"BAJAJFINSV","1,911.05","1,920.00","1,862.55","1,925.55","1,870.20","-","-55.35","-2.87","17,97,567","338.25","2,029.90","1,419.05","4.57","17.47"
"HCLTECH","1,612.00","1,614.95","1,562.45","1,629.20","1,576.70","-","-52.50","-3.22","49,10,121","773.14","2,012.20","1,235.00","-8.37","-5.34"
"ULTRACEMCO","10,490.00","10,490.00","10,047.85","10,447.65","10,089.25","-","-358.40","-3.43","12,30,856","1,261.09","12,145.35","9,250.00","-12.27","2.39"
"MARUTI","12,338.50","12,338.50","11,811.70","12,380.60","11,950.00","-","-430.60","-3.48","6,05,149","723.09","13,680.00","10,725.00","-0.27","5.82"
"SUNPHARMA","1,671.00","1,671.00","1,586.40","1,647.50","1,590.00","-","-57.50","-3.49","35,49,979","571.23","1,960.35","1,377.20","-8.19","0.97"
"NESTLEIND","2,261.00","2,270.00","2,185.00","2,278.20","2,196.30","-","-81.90","-3.59","18,43,566","407.78","2,778.00","2,131.25","0.41","-15.66"
"TCS","3,584.95","3,600.00","3,457.00","3,612.55","3,478.00","-","-134.55","-3.72","70,85,018","2,473.94","4,592.25","3,457.00","-15.04","-14.94"
"BAJAJ-AUTO","8,234.75","8,234.75","7,886.30","8,232.35","7,915.20","-","-317.15","-3.85","5,80,155","465.07","12,774.00","7,886.30","-8.38","-0.08"
"BRITANNIA","4,782.80","4,786.45","4,553.80","4,782.80","4,591.90","-","-190.90","-3.99","6,76,501","313.08","6,469.90","4,553.80","-8.77","-7.45"
"INFY","1,755.05","1,755.10","1,682.45","1,764.30","1,693.00","-","-71.30","-4.04","1,21,82,167","2,064.30","2,006.45","1,358.35","-10.29","0.82"
"TATACONSUM","995.00","1,001.50","957.35","1,008.00","966.30","-","-41.70","-4.14","50,82,193","492.46","1,256.44","882.90","0.33","-19.02"
"TITAN","3,202.00","3,217.95","3,060.00","3,223.10","3,087.00","-","-136.10","-4.22","13,22,618","410.03","3,867.00","3,055.65","-8.71","-15.10"
"TATAMOTORS","645.00","645.00","618.45","648.55","620.70","-","-27.85","-4.29","2,04,77,619","1,286.20","1,179.00","618.45","-17.52","-34.68"
"M&M","2,695.10","2,699.00","2,572.20","2,726.55","2,595.00","-","-131.55","-4.82","75,49,863","1,966.03","3,270.95","1,788.80","-11.60","33.78"
"BHARTIARTL","1,641.95","1,648.45","1,559.50","1,650.40","1,569.10","-","-81.30","-4.93","1,36,40,211","2,157.06","1,779.00","1,099.00","-1.89","39.78"
"WIPRO","294.00","294.00","277.00","294.50","278.50","-","-16.00","-5.43","1,74,58,839","490.24","324.60","208.50","-11.14","-46.46"
"TECHM","1,570.00","1,572.90","1,478.40","1,588.25","1,485.95","-","-102.30","-6.44","41,55,992","624.26","1,807.70","1,162.95","-11.50","16.80"
"INDUSINDBK","1,040.00","1,040.65","970.10","1,046.70","972.30","-","-74.40","-7.11","5,56,66,745","5,512.40","1,576.35","923.70","4.41","-32.87"
